idUd;anno;dd_numero;importo_oggetto;classe;ha_tabella_hdr
2564619;2023;DD 15/2023;;senza_impegno;0
2577230;2023;DD 1578/2023;29700.0;impegno_perso;1
2577938;2023;DD 1577/2023;94550.0;impegno_perso;0
2579844;2023;DD 1576/2023;;senza_impegno;0
2579843;2023;DD 1575/2023;;senza_impegno;0
2579620;2023;DD 1569/2023;;senza_impegno;0
2578872;2023;DD 1562/2023;16251500.0;impegno_perso;1
2579494;2023;DD 1560/2023;;senza_impegno;0
2577421;2023;DD 1559/2023;17573.51;impegno_perso;1
2577190;2023;DD 1557/2023;;senza_impegno;0
2579552;2023;DD 1551/2023;5000.0;senza_impegno;0
2578630;2023;DD 1550/2023;;senza_impegno;0
2575276;2023;DD 1547/2023;31160.98;impegno_perso;1
2578105;2023;DD 1544/2023;;impegno_perso;0
2578517;2023;DD 1534/2023;1100000.0;impegno_perso;0
2577585;2023;DD 1525/2023;600.0;impegno_perso;1
2579206;2023;DD 1515/2023;;senza_impegno;0
2576449;2023;DD 1514/2023;;impegno_perso;0
2577996;2023;DD 1512/2023;;senza_impegno;0
2578162;2023;DD 1509/2023;3413.0;impegno_perso;0
2579116;2023;DD 1493/2023;175804.0;impegno_perso;0
2578092;2023;DD 1490/2023;2260.66;senza_impegno;0
2579021;2023;DD 1480/2023;;impegno_perso;0
2576222;2023;DD 1474/2023;;senza_impegno;0
2575144;2023;DD 1473/2023;637263.33;impegno_perso;0
2565454;2023;DD 1471/2023;2786466.95;senza_impegno;0
2578518;2023;DD 1470/2023;2400.0;senza_impegno;0
2578776;2023;DD 1465/2023;40000.0;senza_impegno;0
2578736;2023;DD 1454/2023;30000.0;senza_impegno;0
2578686;2023;DD 1445/2023;;impegno_perso;0
2578556;2023;DD 1437/2023;;impegno_perso;0
2578116;2023;DD 1432/2023;;senza_impegno;0
2578552;2023;DD 1431/2023;60000.0;impegno_perso;0
2578446;2023;DD 1428/2023;;senza_impegno;0
2575001;2023;DD 1426/2023;9668.06;impegno_perso;1
2578425;2023;DD 1422/2023;;impegno_perso;0
2574864;2023;DD 1411/2023;262244.0;impegno_perso;1
2578099;2023;DD 1406/2023;;senza_impegno;0
2578203;2023;DD 1401/2023;;senza_impegno;0
2578262;2023;DD 1400/2023;10000.0;senza_impegno;0
2578237;2023;DD 1391/2023;;impegno_perso;0
2577763;2023;DD 1387/2023;;senza_impegno;0
2575129;2023;DD 1386/2023;300.52;senza_impegno;0
2578027;2023;DD 1385/2023;;impegno_perso;0
2578038;2023;DD 1384/2023;;impegno_perso;0
2578100;2023;DD 1383/2023;20000.0;senza_impegno;0
2577992;2023;DD 1382/2023;;senza_impegno;0
2578053;2023;DD 1380/2023;;senza_impegno;0
2577875;2023;DD 1378/2023;;senza_impegno;0
2577379;2023;DD 1374/2023;1080.0;senza_impegno;0
2571341;2023;DD 1172/2023;11889.72;impegno_perso;1
2577786;2023;DD 1357/2023;;senza_impegno;0
2577789;2023;DD 1355/2023;;senza_impegno;0
2577629;2023;DD 1354/2023;8000.0;senza_impegno;0
2576932;2023;DD 1351/2023;18000.0;senza_impegno;0
2576854;2023;DD 1346/2023;46000.0;senza_impegno;0
2576842;2023;DD 1345/2023;46000.0;senza_impegno;0
2577494;2023;DD 1343/2023;;senza_impegno;0
2577172;2023;DD 1300/2023;40000.0;impegno_perso;0
2574543;2023;DD 1322/2023;851873.54;impegno_perso;0
2576843;2023;DD 1326/2023;105551.57;impegno_perso;0
2575316;2023;DD 1315/2023;4880.0;impegno_perso;1
