idUd;dd_numero;data_atto;cig;n_cig;importo_oggetto_max;oggetto;idPubblicazione;idDocPrimario;nroAllegati
2663061;DD 930/2025;Feb 14, 2025, 12:00:00 AM;;0;3643438.47;DETERMINA DIRIGENZIALE N.6904/2022 DEL 19/12/2022 - RADIAZIONE ACCERTAMENTO DI ENTRATA SUL BILANCIO 2024 PER OPERE DI URBANIZZAZIONE A SCOMPUTO PER UN TOTALE DI EURO 3.643.438,47.;2663061;3521438;
2663023;DD 929/2025;Feb 14, 2025, 12:00:00 AM;;0;;ZAFFIRO NORD SRL: INSERIMENTO NELL'ELENCO PRESIDI DI CUI ALLA D.D. 7566/2024 DEL 28/11/2024 DELLA STRUTTURA RAF DISABILI DI TIPO B ''RESIDENZA SERENA 2''.;2663023;3521387;
2663015;DD 928/2025;Feb 14, 2025, 12:00:00 AM;;0;;C.7 - VOLTURA PASSO CARRAIO - CORSO PALERMO 26 - SOCIETA'  DREAM TEAM S.R.L. PER CONTO DI SANDRA RANIERI. DINIEGO.;2663015;3521377;
2665198;DD 927/2025;Feb 14, 2025, 12:00:00 AM;;0;;C7-INTEGRAZIONI ALLA DETERMINAZIONE DIRIGENZIALE N. 315 DEL 21/01/2025 DI APPROVAZIONE DEL DISCIPLINARE PER LA CONCESSIONE PER ANNI 6 DEL LOCALE DI PRORPIETA' COMUNALE SITO IN STRADA DEL FORTINO 20B ALL' ASSOCIAZIONE SPORTIVA DILETTANTISTICA U.C.A.T. (UNIONE CICLO APLPINA TORINO);2665198;3524225;
2663064;DD 926/2025;Feb 14, 2025, 12:00:00 AM;;0;2.12;PROGETTO ''AFRIFOODLINKS''. ACCERTAMENTO DELL'ENTRATA (EX. ART. 179 D.LGS. 267/2000 TUEL) DI EURO 2,123.56 IN ATTUAZIONE DELLA DELIBERAZIONE DI GIUNTA N. 507 DEL 27/08/2024 PER ATTIVITA' DI PROGETTO. DEBITORE ICLEI AFRICA;2663064;3521443;
2663038;DD 925/2025;Feb 14, 2025, 12:00:00 AM;;0;;C7 INDIVIDUAZIONE DELLE ASSOCIAZIONI  DA ISCRIVERE NELL' ALBO DELLE ASSOCIAZIONI DI VIA DELLA CIRCOSCRIZIONE 7 - ANNO 2025.;2663038;3521410;
2663047;DD 924/2025;Feb 14, 2025, 12:00:00 AM;;0;;"C7 - LINEE GUIDA PER L'EROGAZIONE DEI CONTRIBUTI ANNO 2025. APPROVAZIONE E PUBBLICAZIONE DEGLI AVVISI ""COGLI L'ESTATE 7'' E ''TORNEO DI BOCCE''  PER L'ANNO 2025.";2663047;3521422;
2663057;DD 923/2025;Feb 14, 2025, 12:00:00 AM;;0;;"  C.7 - LINEE GUIDA PER L'EROGAZIONE DEI CONTRIBUTI 2025. APPROVAZIONE E PUBBLICAZIONE DEGLI AVVISI ""PROGETTI AMBIENTALI  2025'' .  ";2663057;3521433;
2663053;DD 922/2025;Feb 14, 2025, 12:00:00 AM;;0;;"C.7 - LINEE GUIDA PER L'EROGAZIONE DEI CONTRIBUTI ANNO 2025. APPROVAZIONE E PUBBLICAZIONE DEGLI AVVISI ""PROGETTI PER LA REALIZZAZIONE DI ATTIVITA' ED INTERVENTI RIGUARDANTI LA PROMOZIONE DELLA MOBILITA' ATTIVA E SOSTENIBILE'' .";2663053;3521429;
2663050;DD 921/2025;Feb 14, 2025, 12:00:00 AM;;0;;"C.7 - LINEE GUIDA PER L'EROGAZIONE DEI CONTRIBUTI 2025. APPROVAZIONE E PUBBLICAZIONE  DELL' AVVISO ""EVENTI CULTURALI ANNO 2025"" IN ESECUZIONE  DELIBERAZIONE DELCI7 59/2024 DEL 2 DICEMBRE 2024.";2663050;3521425;
2663022;DD 920/2025;Feb 14, 2025, 12:00:00 AM;;0;;"C.7 - LINEE GUIDA PER L'EROGAZIONE DEI CONTRIBUTI ANNO 2025. APPROVAZIONE E PUBBLICAZIONE DELL' AVVISO "" GIOVANI, FORMAZIONE E OCCUPABILITA'  ANNO  2025''";2663022;3521386;
2663070;DD 919/2025;Feb 14, 2025, 12:00:00 AM;;0;95583.43;DETERMINAZIONE DIRIGENZIALE DI ACCERTAMENTO DELL'ENTRATA (EX ART. 179 D. LGS. 267/2000 TUEL E D. LGS. 118/2011) DI EURO € 95.583,43. PERMESSO DI COSTRUIRE N. 2/2025 PROT. ED. 1-9587-2024 PER OPERE DA REALIZZARSI IN TORINO, VIA GIAN FRANCESCO RE, 66.;2663070;3521453;
2663013;DD 918/2025;Feb 14, 2025, 12:00:00 AM;;0;;MOBILITA' ESTERNA PRESSO IL COMUNE DI SICIGNANO DEGLI ALBURNI DEL DIPENDENTE M.G. (AREA DEGLI ISTRUTTORI - PROFILO ''ISTRUTTORE POLIZIA LOCALE''). PARERE FAVOREVOLE.;2663013;3521374;
2665204;DD 884/2025;Feb 13, 2025, 12:00:00 AM;8787969D6C;1;181125.42;S-062 PNRR-MISURA M5C2 I2.2 PIANO INTEGRATO URBANO- PIU AZIONE A25 MANUTENZIONE STRAORDINARIA IMPIANTO SPORTIVO TRECATE E PISCINA GAIDANO - C.O. 5047 - CUP C12H22000000006 - AFFIDAMENTO OPERE IMPIANTISTICHE FASE 1 E FASE 2, ALL'IREN SMART SOLUTIONS S.P.A. PER EURO 181.125,42, (CIG. 8787969D6C). IMPEGNO DI SPESA FASE 1, DI EURO 54.855,70 -  FINANZIAMENTO UNIONE EUROPEA - NEXT GENERATION EU.;2665204;3524236;
2665201;DD 885/2025;Feb 14, 2025, 12:00:00 AM;A02137427C|8787969D6C|B57373E790;3;3405.43;(S-062) PNRR-MIS.M5C2 INVEST. 2.2 PIANO INTEGRATO URBANO-PIU- AZIONE A18-M.S. MERCATI GUALA, PAVESE, MADAMA CRISTINA-CO5053- CUPC12F22000010006-CIG A02137427C- MERCATO GUALA AFFIDAMENTO E IMPEGNO DI SPESA  PER SPOSTAMENTO CONTATORE ELETTRICO A IRETI S.P.A.(SOCIETA' APPARTENENTE AL GRUPPO IREN P.IVA 02863660359) EURO 3.405,43 (COMPRESA IVA 22%) CIG 8787969D6C - AFFIDAMENTO E IMPEGNO PER ALLACCIAMENTO IDRICO SMAT S.P.A. EURO 2.244,00 (COMPRESA IVA 10%) CIG B57373E790 - RIDETERMINAZIONE Q.E. E CRON. FINANZIARIO. FINANZ. UE-NEXT GENERATION EU;2665201;3524231;
2663073;DD 917/2025;Feb 14, 2025, 12:00:00 AM;;0;95936.14;PROGETTO BLOOMBERG - ROUND 2 - FINANZIATO DAL PROGRAMMA BLOOMBERG PHILANTHROPIES - YOUTH CLIMATE ACTION FUND. IMPORTO EURO 95.936,14 (FINANZIATO AL 100%). ACCERTAMENTO DELL'ENTRATA (EX ART. 179 D.LGS 267/2000 TUEL) PER EURO 95.936,14. DEBITORE ROCKEFELLER PHILANTHROPY ADVISORS. CUP C19G25000000007;2663073;3521459;
