dd_numero;capitolo;anno_imp;importo;missione;missione_nome;programma;macro;denominazione;match
DD 1265/2025;048700001003;2025;15.500,00;05;Tutela e valorizzazione dei beni e attività culturali;2;3;BIBLIOTECHE CIVICHE - ACQUISTO MATERIALI PER PROGETTO LA STAMPA - VEDASI CAP. 15100078001 ENTRATA - SETT.25 1564;exact
DD 1265/2025;048700001001;2025;700,00;05;Tutela e valorizzazione dei beni e attività culturali;2;3;BIBLIOTECHE CIVICHE - ACQUISTO DI MATERIALI - GIORNALI E RIVISTE - settore 025;exact
DD 1265/2025;048800003007;2025;12.322,00;05;Tutela e valorizzazione dei beni e attività culturali;2;3;BIBLIOTECHE CIVICHE - ACQUISTO DI SERVIZI PER PROGETTO LA STAMPA - VEDASI CAP. 1510078001 ENTRATA - SETT.25 1564;exact
DD 1344/2025;078630003001;2025;;01;Servizi istituzionali, generali e di gestione;6;3;GESTIONE GRANDI OPERE - PRESTAZIONI DI SERVIZI - INCARICHI E SERVIZI PROFESSIONALI - settore 117;base9-unique
DD 1430/2025;021750006001;2025;62.000,00;01;Servizi istituzionali, generali e di gestione;7;3;SERVIZIO ELETTORALE - SPESE DERIVANTI DA AGGIORNAMENTO LISTE ELETTORALI DA DISPOSIZIONI MINISTERIALI - Sett.018;exact
DD 1430/2025;021750006001;2026;58.000,00;01;Servizi istituzionali, generali e di gestione;7;3;SERVIZIO ELETTORALE - SPESE DERIVANTI DA AGGIORNAMENTO LISTE ELETTORALI DA DISPOSIZIONI MINISTERIALI - Sett.018;exact
DD 1454/2025;010900000001;2025;23.058,00;01;Servizi istituzionali, generali e di gestione;3;3;SPESE GENERALI PER GESTIONE INDEBITAMENTO - settore 024;exact
DD 1472/2025;123100203003;2025;;03;Ordine pubblico e sicurezza;1;2;APP. AVANZO TRASFERIMENTI - POLIZIA LOCALE - ACQUISTI ATTREZZATURE - VEICOLI - PROGETTO SCUOLE SICURE - VEDASI CAP. 31500000 ENTRATA - sett. 048;exact
DD 1472/2025;123100203003;;;03;Ordine pubblico e sicurezza;1;2;APP. AVANZO TRASFERIMENTI - POLIZIA LOCALE - ACQUISTI ATTREZZATURE - VEICOLI - PROGETTO SCUOLE SICURE - VEDASI CAP. 31500000 ENTRATA - sett. 048;base9-multi
DD 1490/2025;091700002002;2025;25.889,86;14;Sviluppo economico e competitività;4;3;MANUTENZIONE ORDINARIA DEGLI IMPIANTI PUBBLICITARI - settore 013;exact
