cig;dd_numeri;capitoli;missioni;denominazioni_capitoli
B6D89E2672;DD 3045/2025|DD 5938/2025;021750002001;01;ELEZIONI - SERVIZI IN OCCASIONE DI REFERENDUM - VEDASI CAP. 5000002 ENTRATA - settore 018
B6BA8BD8DE;DD 3179/2025;060500010001;07;TURISMO - ACQUISTO DI BENI E SERVIZI - PROGETTO UNESCO RESIDENZE DELLA FAMIGLIA REALE DI SAVOIA - VEDASI CAP. 6500002 ENTRATA - SETT. 69
B6CF28803E;DD 5446/2025;164150005003;14;PNRR M5C2-I2.2 CUP C12F22000020006 PIU A19 - MANUTENZIONE STRAORDINARIA DIFFUSA DEI MERCATI NITTI, BALTIMORA, DON GRIOLI E SEBASTOPOLI - VEDASI CAP. 31520008 ENTRATA - SETT. 62
B6EC7B1A03;DD 3040/2025;157400005003;12;APP. AVANZO LEGGI - SERVIZI SOCIALI - ACQUISTI - MOBILI E ARREDI - VEDASI CAP. 29400 ENTRATA - SETT. 05 - 900
B6F1289D57;DD 3188/2025;157400005003;12;APP. AVANZO LEGGI - SERVIZI SOCIALI - ACQUISTI - MOBILI E ARREDI - VEDASI CAP. 29400 ENTRATA - SETT. 05 - 900
B69F8650DA;DD 2756/2025;;;
B6CE6E1297;DD 3453/2025;;;
B6E8D47596;DD 3250/2025;;;
B6CFD111E0;DD 5446/2025;164150005003;14;PNRR M5C2-I2.2 CUP C12F22000020006 PIU A19 - MANUTENZIONE STRAORDINARIA DIFFUSA DEI MERCATI NITTI, BALTIMORA, DON GRIOLI E SEBASTOPOLI - VEDASI CAP. 31520008 ENTRATA - SETT. 62
B6C0F314E7;DD 2754/2025;021750002001;01;ELEZIONI - SERVIZI IN OCCASIONE DI REFERENDUM - VEDASI CAP. 5000002 ENTRATA - settore 018
B6F22939B9;DD 3305/2025|DD 4704/2025;087300002001|087300018001;12;SERVIZI SOCIALI - PRESTAZIONI DI SERVIZI - INTERVENTI A FAVORE DI DISABILI - settore 019 || SERVIZI SOCIALI - PRESTAZIONI DI SERVIZI - INTERVENTI IN FAVORE DI ANZIANI - S.R.E. IVA - settore 019
B6D9423CA8;DD 4637/2025|DD 4270/2025|DD 6304/2025;132500002002|174800000008;05|99;BIBLIOTECHE MUSEI E PINACOTECHE - MANUTENZIONE STRAORDINARIA E RESTAURI - settore 060 || DEPOSITI CAUZIONALI IN DENARO DA TERZI PRESSO LA CITTA' - settore 020
B6CDAA4926;DD 2809/2025;018940004001;01;SISTEMA SICUREZZA E PRONTO INTERVENTO - PRESTAZIONI DI SERVIZI - FORMAZIONE ED INFORMAZIONE - PUBBLICAZIONI - D.LGS.81/2008 - settore 111
B6F4803EAF;DD 8516/2025;026900017001;01;SISTEMI INFORMATIVI - ACQUISTO DI BENI E SERVIZI - LICENZE D'USO PER SOFTWARE - SETT. 27
B6C6277D10;DD 2890/2025;098700014003;14;COMMERCIO E MERCATI - ACQUISTO DI MATERIALI - MATERIALI VARI - settore 134
B66D4ED5BD;DD 3828/2025;082600001004;12;CIRCOSCRIZIONI COMUNALI - PRESTAZIONI DI SERVIZI - INTERVENTI DI PREVENZIONE E RECUPERO DEL DISAGIO GIOVANILE - settore 085
B701D536A4;DD 3208/2025;021750002001;01;ELEZIONI - SERVIZI IN OCCASIONE DI REFERENDUM - VEDASI CAP. 5000002 ENTRATA - settore 018
B6D1C8134B;DD 4285/2025;;;
B6B6ABEFB2;DD 2790/2025;008700000001|034100008004;01|03;ERARIO C/I.V.A. - I.V.A. A DEBITO - settore 024 || POLIZIA MUNICIPALE - ACQUISTO DI MATERIALI - ACQUISTO DI PUBBLICAZIONI - VEDASI CAP. 8700000 ENTRATA - settore 048
B6D8A1D722;DD 3231/2025;118630008002;01;SISTEMI INFORMATIVI - PN METRO PLUS - SERVIZI DIGITALI ALLE IMPRESE - TO1.1.2.1.B - VEDASI CAP.032500002001 ENTRATA - SETT.27
B6ECEA67BE;DD 3385/2025;157600004001;12;PNRR M5C2-I2.2 CUP: C12B22000000001- PIU A9 - MANUTENZIONE STRAORDINARIA CENTRO PROTAGONISMO GIOVANILE E CENTRI SOCIO ASSISTENZIALI STRADA DELLE CACCE 36 - VEDASI CAP. 31520008 ENTRATA - SETT. 30
B6C298923B;DD 2836/2025;021750002001;01;ELEZIONI - SERVIZI IN OCCASIONE DI REFERENDUM - VEDASI CAP. 5000002 ENTRATA - settore 018
B6EB1C4207;DD 3829/2025;088810001027;12;LEGGE 285/97 - PROGETTI LEGGE 285/97 - PRESTAZIONI DI SERVIZI - SERVIZI DIVERSI - settore 085
B6D102F886;DD 2864/2025;021750002001;01;ELEZIONI - SERVIZI IN OCCASIONE DI REFERENDUM - VEDASI CAP. 5000002 ENTRATA - settore 018
B714BFDACE;DD 4920/2025|DD 4280/2025|DD 6488/2025;108500004001|123100002001;01|03;ORGANI ISTITUZIONALI PARTECIPAZIONE E DECENTRAMENTO - CASERME E COMMISSARIATI - MANUTENZIONE STRAORDINARIA - settore 030 || POLIZIA MUNICIPALE - MANUTENZIONE STRAORDINARIA - settore 030
B6C3E40A65;DD 4107/2025;152000026002|152000026004;09;APP. AVANZO TRASFERIMENTI - GRANDI OPERE DEL VERDE - VIVAIO FORESTALE COMPLESSO BONAFOUS DI CHIERI - VEDASI CAP. 046500102 ENTRATA - sett. 117 || GRANDI OPERE DEL VERDE - VIVAIO FORESTALE COMPLESSO BONAFOUS DI CHIERI - VEDASI CAP. 046500102 ENTRATA - sett. 117
B6D614C858;DD 2977/2025;098700014003;14;COMMERCIO E MERCATI - ACQUISTO DI MATERIALI - MATERIALI VARI - settore 134
B6D8A8E463;DD 3212/2025;033900001018;03;POLIZIA LOCALE E AMMINISTRATIVA - SPESE GENERALI - SPESE DI FUNZIONAMENTO - MANUTENZIONE ORDINARIA E RIPARAZIONI DI ATTREZZATURE - settore 048
B6CA140CEC;DD 2765/2025|DD 3136/2025;;;
B6E58E4A79;DD 4331/2025|DD 5681/2025|DD 6861/2025|DD 7474/2025|DD 8766/2025;108630001002;01;APP. AVANZO MUTUI - AXTO VALLETTE - MANUTENZIONE STRAORDINARIA COPERTURA E FACCIATE EDIFICIO PIAZZA MONTALE N.10-12 - Settore 030
B6BC8B5A84;DD 2808/2025;;;
B69B3660E2;DD 2525/2025;003610005001;01;GABINETTO DEL SINDACO - COORD. ATTIVITA' DI SUPPORTO AL CAPO GABINETTO - LOOK E SPONSORIZZAZIONI DELLA CITTA' - STAND SALONE DEL LIBRO - sett. 01
B6C3D8F855;DD 4357/2025;152000026001|152000026003;09;APP. AVANZO TRASFERIMENTI - GRANDI OPERE DEL VERDE - EFFICIENTAMENTO ENERGETICO SERRE COMPLESSO BONAFOUS DI CHIERI - VEDASI CAP. 046500102 ENTRATA - sett. 117 || GRANDI OPERE DEL VERDE - EFFICIENTAMENTO ENERGETICO SERRE COMPLESSO BONAFOUS DI CHIERI - VEDASI CAP. 046500102 ENTRATA - sett. 117
B6B698C331;DD 3661/2025;071600007002;11;PROTEZIONE CIVILE - ACQUISTO DI MATERIALI - MATERIALI VARI PER SISTEMA DI TRASMISSIONI - VEDASI CAP. 15000010 ENTRATA - settore 048
B75CF010F9;DD 4644/2025;157600005001;12;PNRR M5C2-I2.2 CUP C17H22000150006 PIU A20 - MANUTENZIONE STRAORD. CON PARZIALE RIFUNZION. STABILE DI VIA LEONCAVALLO 17/27 E VIA PACINI 18 PARTE SOCIALE - VEDASI CAP. 31520008 ENTRATA - SETT 63
B75947614F;DD 3905/2025|DD 4939/2025|DD 4016/2025|DD 7319/2025;;;
B73BBF11D5;DD 3743/2025|DD 4524/2025|DD 5765/2025;078400001001|078400002001;09;VERDE PUBBLICO - ACQUISTO DI SERVIZI - LAVORI E MANUTENZIONI - settore 046 || VERDE PUBBLICO - ACQUISTO DI SERVIZI - POTATURE, INTERVENTI DENDROLOGICI, MANUTENZIONE VERDE VERTICALE - settore 046
B76B4D3851;DD 3949/2025;046150014001|046150025001;04;PROGETTI EDUCATIVI - PRESTAZIONI DI SERVIZI - ATTIVITA' EDUCATIVE E SERVIZI PER INCLUSIONE E DISABILITA' - settore 007 || PROGETTI EDUCATIVI - PRESTAZIONI DI SERVIZI - ATTIVITA' ESTIVE - S.R.E. IVA - settore 007 - R.IVA
B744B5670D;DD 3805/2025;;;
B74F26A79F;DD 4664/2025;060500010001;07;TURISMO - ACQUISTO DI BENI E SERVIZI - PROGETTO UNESCO RESIDENZE DELLA FAMIGLIA REALE DI SAVOIA - VEDASI CAP. 6500002 ENTRATA - SETT. 69
B715E18BBA;DD 3404/2025;118630008003;01;SISTEMI INFORMATIVI - PN METRO PLUS - DIGITALIZZAZIONE E CHANGE MANAGEMENT - TO1.1.2.1.C - VEDASI CAP.032500002001 ENTRATA - SETT.27
B735FB114B;DD 3591/2025;034300004001;03;P0LIZIA MUNICIPALE - PRESTAZIONI DI SERVIZI - VIOLAZIONI ALLA LEGGE SULLA CIRCOLAZIONE STRADALE - SPESE DI PROCEDURA - settore 048
B7487BF12E;DD 4232/2025;018300001002;01;EDILIZIA SCOLASTICA - ACQUISTO DI SERVIZI - INCARICHI DI PROGETTAZIONE - settore 031
B7404127A0;DD 3660/2025;034300041004|123100203003|123100203004;03;APP. AVANZO TRASFERIMENTI - POLIZIA LOCALE - ACQUISTI ATTREZZATURE - VEICOLI - PROGETTO SCUOLE SICURE - VEDASI CAP. 31500000 ENTRATA - sett. 048 || APP. AVANZO TRASFERIMENTI - POLIZIA LOCALE - ACQUISTI ATTREZZATURE VARIE - PROGETTO SCUOLE SICURE - VEDASI CAP. 31500000 ENTRATA - sett. 048 || APP. AVANZO TRASFERIMENTI - POLIZIA LOCALE - ACQUISTO DI BENI E SERVIZI - PRESTAZIONI DI SERVIZI - PROGETTO SCUOLE SICURE - VEDASI CAP. 6600000 ENTRATA - sett. 048
B742EAE133;DD 4744/2025;;;
B6DD69B6B6;DD 3291/2025;118630008001;01;SISTEMI INFORMATIVI - PN METRO PLUS - SERVIZI DIGITALI ALLA PERSONA - TO1.1.2.1.A - VEDASI CAP.032500002001 ENTRATA - SETT.27
B75C801A28;DD 4083/2025;;;
B76B12B3E9;DD 4190/2025;060500009002;07;TURISMO - ACQUISTO DI BENI E SERVIZI - INIZIATIVE E MANIFESTAZIONI NAZIONALI ED INTERNAZIONALI ANCHE A RILIEVO TURISTICO - sett.0 69
B75AD6FCF7;DD 4412/2025;;;
B7748D29A8;DD 5644/2025;108500002005;01;APP. AVANZO MUTUI - ORGANI ISTITUZIONALI PARTECIPAZIONE E DECENTRAMENTO - MANUTENZIONE STRAORDINARIA - settore 030
B74725A968;DD 4231/2025;018300001002;01;EDILIZIA SCOLASTICA - ACQUISTO DI SERVIZI - INCARICHI DI PROGETTAZIONE - settore 031
B75CF24DD7;DD 4491/2025;157600005003;12;PNRR M5C2-I2.2 CUP C17H22000830006 PIU A23 - MANUTENZIONE STRAORDINARIA PER RIUSO E RIFUNZION. DELLA CASA DI ACCOGLIENZA SOCIALE DI VIA FOLIGNO 10 - VEDASI CAP. 31520008 ENTRATA - SETT 63
B76B89A650;DD 4395/2025;118630008001;01;SISTEMI INFORMATIVI - PN METRO PLUS - SERVIZI DIGITALI ALLA PERSONA - TO1.1.2.1.A - VEDASI CAP.032500002001 ENTRATA - SETT.27
B75C9F244D;DD 4153/2025;;;
B723884B12;DD 3480/2025;057200011001|057200014001;06;MANIFESTAZIONI SPORTIVE - ACQUISTO DI BENI E SERVIZI - EVENTI DI PROMOZIONE SPORTIVA RIVOLTI ALLE SCUOLE DELL'OBBLIGO - sett. 010 || MANIFESTAZIONI SPORTIVE - ACQUISTO DI BENI E SERVIZI - SPESE PER OSPITALITA' E ACCOGLIENZA - sett. 010
B7277718A4;DD 3982/2025;;;
B745AADFB4;DD 3952/2025;118630008005;01;SISTEMI INFORMATIVI - PN METRO PLUS - GESTIONE DELLA RELAZIONE CITTADINO - IMPRESE - TO1.1.2.1.E - VEDASI CAP.032500002001 ENTRATA - SETT.27
B71936CDB6;DD 3721/2025;118630009001;01;SISTEMI INFORMATIVI - PNRR M1 C1 INV1.4 MISURA1.4.4 - EST. DELL'UTILIZZO ANAGRAFE NAZIONALE DIGITALE (ANPR)-ADESIONE ALLO STATO CIVILE DIGITALE(ANSC)-CUP C51F24005910006 VED CAP. 33850010 E - sett 027
B749DF4496;DD 4351/2025;;;
B76B48CDB8;DD 3949/2025;046150014001|046150025001;04;PROGETTI EDUCATIVI - PRESTAZIONI DI SERVIZI - ATTIVITA' EDUCATIVE E SERVIZI PER INCLUSIONE E DISABILITA' - settore 007 || PROGETTI EDUCATIVI - PRESTAZIONI DI SERVIZI - ATTIVITA' ESTIVE - S.R.E. IVA - settore 007 - R.IVA
B7274611AC;DD 3938/2025;076610002001;09;FONDI EUROPEI - ACQUISTO DI BENI E SERVIZI - PROGETTO COMMONAIR - VEDASI CAP.012700009 ENTRATA - SETT 068
B73286C52A;DD 3689/2025;;;
B759470C58;DD 3887/2025;118630008007;01;SISTEMI INFORMATIVI - PN METRO PLUS - GESTIONE DELLA RELAZIONE CITTADINO - IMPRESE - TO1.1.2.1.E - HARDWARE - VEDASI CAP.032500002001 ENTRATA - SETT.27
B77087F4AA;DD 3949/2025;046150014001|046150025001;04;PROGETTI EDUCATIVI - PRESTAZIONI DI SERVIZI - ATTIVITA' EDUCATIVE E SERVIZI PER INCLUSIONE E DISABILITA' - settore 007 || PROGETTI EDUCATIVI - PRESTAZIONI DI SERVIZI - ATTIVITA' ESTIVE - S.R.E. IVA - settore 007 - R.IVA
B63A317F70;DD 2634/2025|DD 2054/2025;;;
B63A2F750B;DD 2635/2025|DD 2053/2025;174800000020;99;DEPOSITI CAUZIONALI IN DENARO DA TERZI PRESSO LA CITTA' - settore 010
B7379E9435;DD 3595/2025;;;
B63A2A2EE3;DD 2637/2025|DD 2052/2025;174800000020;99;DEPOSITI CAUZIONALI IN DENARO DA TERZI PRESSO LA CITTA' - settore 010
B76C9C3F85;DD 4328/2025|DD 6588/2025;;;
A06AD4F1BD;DD 4413/2025;132200005001;05;PNRR M5C2-I2.2 CUP C12F22000040001 PIU A5 - MANUTENZIONE STRAORDINARIA BIBLIOTECHE CIVICHE BONHOEFFER, GINZBURG, CASCINA MARCHESA E CdQ PIUSPAZIOQUATTRO - VEDASI CAP. 31520008 ENTRATA - SETT.30
B63A2D15AF;DD 2636/2025|DD 2055/2025;;;
B79FBBD388;DD 4209/2025;018940001006;01;SISTEMA SICUREZZA E PRONTO INTERVENTO - PRESTAZIONI DI SERVIZI - MANUTENZIONE E PULIZIA LOCALI - settore 111
B7B2E0B8CE;DD 4923/2025|DD 6066/2025|DD 8256/2025;;;
B7AAB112FB;DD 4492/2025;056000007001;06;CENTRI SPORTIVI - ACQUISTO DI SERVIZI - SPESE PER INTERVENTI VARI - S.R. E. IVA - settore 010 - R.IVA
B7B948CF8E;DD 4490/2025;034300039002;03;APP. AVANZO TRASFERIMENTI 1555 - POLIZIA LOCALE - ACQUISTO DI SERVIZI - PROGETTO REALIZZAZIONE PIATTAFORMA DIGITALE - VEDASI CAP. 006570002 ENTRATA - sett. 048
B7B9396490;DD 4625/2025;;;
B786CDEADC;DD 4998/2025|DD 6255/2025;002610005001|157400005003;01|12;ALTRI SERVIZI GENERALI - ACQUISTO BENI DI CONSUMO - ACQUISTO MATERIALI DI CONSUMO - MATERIALE VARIO - settore 005 || APP. AVANZO LEGGI - SERVIZI SOCIALI - ACQUISTI - MOBILI E ARREDI - VEDASI CAP. 29400 ENTRATA - SETT. 05 - 900
B779DE6F13;DD 4134/2025;118630008005;01;SISTEMI INFORMATIVI - PN METRO PLUS - GESTIONE DELLA RELAZIONE CITTADINO - IMPRESE - TO1.1.2.1.E - VEDASI CAP.032500002001 ENTRATA - SETT.27
B7AC051C33;DD 5643/2025;108500002001;01;ORGANI ISTITUZIONALI PARTECIPAZIONE E DECENTRAMENTO - MANUTENZIONE STRAORDINARIA - settore 030
B6EA91ABAA;DD 3556/2025;;;
B7B7C21913;DD 4819/2025;;;
B7B600FEFE;DD 4547/2025;033900001018;03;POLIZIA LOCALE E AMMINISTRATIVA - SPESE GENERALI - SPESE DI FUNZIONAMENTO - MANUTENZIONE ORDINARIA E RIPARAZIONI DI ATTREZZATURE - settore 048
B7C5585E8D;DD 4782/2025;071700007001;11;PROTEZIONE CIVILE - ACQUISTO DI SERVIZI - SERVIZI PER ATTIVITA' ED INTERVENTI DI PROTEZIONE CIVILE - settore 028
B7C7739E9A;DD 5255/2025|DD 4990/2025;;;
B7C6DFDFC4;DD 5099/2025;086300008009;12;SERVIZI SOCIALI - PRESTAZIONI DI SERVIZI - INTERVENTI A FAVORE DI STRANIERI E NOMADI - FORMAZIONE - VEDASI CAP. 6570000- ENTRATA - settore 019
B7B4868A41;DD 4741/2025;018940003001;01;SISTEMA SICUREZZA E PRONTO INTERVENTO - PRESTAZIONI DI SERVIZI - ATTUAZIONE DISPOSTI DI LEGGE - D.LGS.81/2008 - settore 111
B790FF4010;DD 4545/2025;006800018001;01;PERSONALE - ACQUISTO DI SERVIZI - AGGIORNAMENTO E FORMAZIONE DEI LAVORATORI DELLA PUBBLICA AMMINISTRAZIONE - LEGGE N. 122/2010 ART. 6 COMMA 13 - settore 004
B7C12C3772;DD 4723/2025;045800001001;04;ASSISTENZA SCOLASTICA - ACQUISTO DI SERVIZI - REFEZIONE SCUOLE DELL'OBBLIGO - S.R.E. IVA - Sett. 007 - R.IVA
B79E11435D;DD 4383/2025;056000007001;06;CENTRI SPORTIVI - ACQUISTO DI SERVIZI - SPESE PER INTERVENTI VARI - S.R. E. IVA - settore 010 - R.IVA
B7BB0BD33A;DD 5803/2025;;;
B7CCB0555D;DD 4771/2025;060500010001;07;TURISMO - ACQUISTO DI BENI E SERVIZI - PROGETTO UNESCO RESIDENZE DELLA FAMIGLIA REALE DI SAVOIA - VEDASI CAP. 6500002 ENTRATA - SETT. 69
B7AE27BDA0;DD 4772/2025;157400005003;12;APP. AVANZO LEGGI - SERVIZI SOCIALI - ACQUISTI - MOBILI E ARREDI - VEDASI CAP. 29400 ENTRATA - SETT. 05 - 900
B7C6EBDE36;DD 5100/2025;086300010004;12;SERVIZI SOCIALI - PRESTAZIONI DI SERVIZI - INTERVENTI A FAVORE DI MINORI A RISCHIO - FORMAZIONE - VEDASI CAP. 4850000 ENTRATA - settore 019
B7A743095F;DD 4535/2025;098700013003;14;COMMERCIO E MERCATI - ACQUISTO DI BENI E SERVIZI - SPAZI PUBLICITARI TV RADIO WEB CARTA STAMPATA - SETT. 134
B7C1AFBFB6;DD 5977/2025|DD 6745/2025|DD 8733/2025;;;
B77FF56786;DD 4308/2025;098700011001;14;COMMERCIO E MERCATI - ACQUISTO DI BENI E SERVIZI - ATTIVITA' DI PROMOZIONE DEL COMMERCIO - SETT. 134
B7A238DE39;DD 5644/2025;108500002005;01;APP. AVANZO MUTUI - ORGANI ISTITUZIONALI PARTECIPAZIONE E DECENTRAMENTO - MANUTENZIONE STRAORDINARIA - settore 030
B7A8B26C0C;DD 4537/2025;;;
B7C4CEB56A;DD 5588/2025;132570002001;05;PNRR M5C2-I2.2 CUP C12F22000030001 PIU A4 - MANUTENZIONE STRAORDINARIA BIBLIOTECHE CIVICHE VILLA AMORETTI, ANDREA DELLA CORTE E MAUSOLEO BELA ROSIN - VEDASI CAP. 31520008 ENTRATA - SETT. 60
B78FBCDEB4;DD 4877/2025|DD 8313/2025;002610005001;01;ALTRI SERVIZI GENERALI - ACQUISTO BENI DI CONSUMO - ACQUISTO MATERIALI DI CONSUMO - MATERIALE VARIO - settore 005
B7CABF4258;DD 4757/2025;056000007004;06;CENTRI SPORTIVI - ACQUISTO DI SERVIZI - RIMOZIONE E SMALTIMENTO RIFIUTI - S.R.E. IVA - settore 010 - R.IVA
B7A5FF250E;DD 4316/2025;028300002002;01;COMUNICAZIONE ISTITUZIONALE ED INFORMAZIONE - SPESE PUBBLICITARIE A CARATTERE ISTITUZIONALE - QUOTIDIANI E PERIODICI - LEGGE N. 122/2010 - ART. 6 COMMA 8 - settore 001
B7C946A587;DD 4607/2025;122900003001|122900003003;03;POLIZIA LOCALE - ACQUISTI ATTREZZATURE - VEICOLI - PROGETTO PREVENZIONE E CONTRASTO TRUFFE AGLI ANZIANI - VEDASI CAP. 031550001 ENTRATA 1403 - SETT. 048 || POLIZIA MUNICIPALE - ACQUISTI ATTREZZATURE VARIE - PROGETTO PREVENZIONE E CONTRASTO TRUFFE AGLI ANZIANI - VEDASI CAP. 031550001 ENTRATA 1403 - SETT. 048
B7C6E77475;DD 5098/2025;086300008009;12;SERVIZI SOCIALI - PRESTAZIONI DI SERVIZI - INTERVENTI A FAVORE DI STRANIERI E NOMADI - FORMAZIONE - VEDASI CAP. 6570000- ENTRATA - settore 019
B7C8330E45;DD 5595/2025|DD 7116/2025;;;
B7C2C5F9A0;DD 4563/2025|DD 8666/2025|DD 8665/2025;075900003007;09;CIRCOSCRIZIONI COMUNALI - PRESTAZIONI DI SERVIZI - MANUTENZIONE AREE VERDI - settore 084
B7A32DC04D;DD 5275/2025;046150020001;04;PROGETTI EDUCATIVI - PRESTAZIONI DI SERVIZI - ATTIVITA' PER INTERVENTI INNOVATIVI - settore 007
B7CF28C3D4;DD 5215/2025|DD 8453/2025;164150001010|164150007001;14;APP. AVANZO LEGGE - COMMERCIO - ACQUISTI DI BENI PER LA PROMOZIONE DEI LUOGHI DEL COMMERCIO - VEDASI CAP. 37150000 ENTRATA - settore 016 || COMMERCIO - ACQUISTI DI BENI E PER LA PROMOZIONE DEI LUOGHI DEL COMMERCIO - sett. 016
B7D55FB1F6;DD 5617/2025;164150001013;14;APP. AVANZO LEGGE - COMMERCIO - ACQUISTI DI BENI PER LA QUALIFICAZIONE DEI LUOGHI DEL COMMERCIO - VEDASI CAP. 37150000 ENTRATA - settore 016
B7AF511410;DD 4878/2025;009800001001;01;ALTRI SERVIZI GENERALI - NOLEGGIO FOTOCOPIATORI E MACCHINE VARIE PER UFFICIO - settore 005
B7C9E338B7;DD 4858/2025;136100002007;06;APP. AVANZO INVESTIMENTI - IMPIANTI SPORTIVI - MANUTENZIONE STRAORDINARIA - S.R.E. IVA - settore 062 - R.IVA
B79785EA58;DD 4236/2025;006800012001;01;PERSONALE - ACQUISTO DI SERVIZI - SVILUPPO ORGANIZZATIVO - settore 004
B7D1764B5A;DD 4846/2025;;;
B640051E49;DD 2330/2025;163600007001;09;PNRR - DL. 50 ART. 42 - RIQUALIFICAZIONE SPAZIO PUBBLICO FRONTE COMPLESSO TO-EXPO - C12H23000030001 -VEDASI CAP. 31520012001 ENTRATA - SETTORE 117
B75630FCA9;DD 4084/2025;075000003001;09;FONDI EUROPEI - ACQUISTO DI BENI E SERVIZI - PROGETTO CLIMAGEN - VEDASI CAP. 12500081 ENTRATA 1585
B7B19B7256;DD 5610/2025;098700011001|098700013002;14;COMMERCIO E MERCATI - ACQUISTO DI BENI E SERVIZI - ATTIVITA' DI PROMOZIONE DEL COMMERCIO - SETT. 134 || COMMERCIO E MERCATI - ACQUISTO DI BENI E SERVIZI - COMUNICAZIONE WEB - SETT. 134
B7964837B9;DD 4264/2025;136100012001;06;CENTRI SPORTIVI - ACQUISTO MATERIALE VARIO - S.R.E. IVA - Sett. 10 - R. IVA
B7BF1FA952;DD 4609/2025;122900003001;03;POLIZIA MUNICIPALE - ACQUISTI ATTREZZATURE VARIE - PROGETTO PREVENZIONE E CONTRASTO TRUFFE AGLI ANZIANI - VEDASI CAP. 031550001 ENTRATA 1403 - SETT. 048
B7B022D585;DD 5562/2025|DD 6468/2025;;;
B78E8C9D81;DD 4168/2025;002610004001;01;ALTRI SERVIZI GENERALI - ACQUISTO BENI DI CONSUMO - ACQUISTO MATERIALI DI CONSUMO - BIANCHERIA - settore 005
B7EE27E82E;DD 5174/2025;080200013001;12;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - GESTIONE ESTERNA NIDI - SPESE VARIE - SRE IVA - settore 007
B7F7A5ECF7;DD 5052/2025;075900003002|075900003004;09;CIRCOSCRIZIONI COMUNALI - PRESTAZIONI DI SERVIZI - MANUTENZIONE AREE VERDI - settore 090 || CIRCOSCRIZIONI COMUNALI - PRESTAZIONI DI SERVIZI - MANUTENZIONE AREE VERDI - settore 091
B7F4AF7ED8;DD 5171/2025;080200009001;12;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - NIDI E SERVIZI CONVENZIONATI - S.R.E. IVA - settore 007
B7EFCB5A45;DD 5539/2025|DD 8288/2025|DD 8718/2025;002400016001;01;CIRCOSCRIZIONI COMUNALI - PRESTAZIONI DI SERVIZI - RIMOZIONE RIFIUTI - sett. 091
B7EF9AD9E5;DD 5037/2025;;;
B7F73DAC7D;DD 5411/2025;132200004004;05;PNRR M5C2-I2.2 CUP C14H22000020006 PIU A2 - ACQUISTO PIATTAFORME DIGITALI PER LE BIBLIOTECHE CIVICHE TORINESI - VEDASI CAP. 31520008 ENTRATA - SETT. 25
B7EE48654D;DD 5045/2025|DD 7677/2025;;;
B809816550;DD 5169/2025;080200009001;12;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - NIDI E SERVIZI CONVENZIONATI - S.R.E. IVA - settore 007
B8002A1F53;DD 5816/2025;;;
B7F3F61F39;DD 5064/2025;080200009001;12;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - NIDI E SERVIZI CONVENZIONATI - S.R.E. IVA - settore 007
B7DD5EB5C3;DD 5179/2025;080200013001;12;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - GESTIONE ESTERNA NIDI - SPESE VARIE - SRE IVA - settore 007
B7F1C2C17A;DD 5628/2025;152000005001;09;APP. AVANZO MUTUI - GRANDI OPERE DEL VERDE-PARCO DORA- SKATEPARK - sett.117
B7EE1A76C2;DD 5173/2025;080200013001;12;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - GESTIONE ESTERNA NIDI - SPESE VARIE - SRE IVA - settore 007
B7DD1A1BA8;DD 5024/2025;060500009002;07;TURISMO - ACQUISTO DI BENI E SERVIZI - INIZIATIVE E MANIFESTAZIONI NAZIONALI ED INTERNAZIONALI ANCHE A RILIEVO TURISTICO - sett.0 69
B7EA4EC8F7;DD 4902/2025|DD 8310/2025;056720011002;01;INFRASTRUTTURE PER IL COMMERCIO E LO SPORT - ACQUISTO DI BENI E SERVIZI - ALTRE PRESTAZIONI PROFESSIONALI - S.R.E. IVA - settore 062 - R.IVA
B7EBD75836;DD 5176/2025;080200013001;12;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - GESTIONE ESTERNA NIDI - SPESE VARIE - SRE IVA - settore 007
B7E6D87271;DD 5177/2025;080200013001;12;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - GESTIONE ESTERNA NIDI - SPESE VARIE - SRE IVA - settore 007
B7E5F480D8;DD 5044/2025;004300069001;19;COOPERAZIONE INTERNAZIONALE E PACE - BANDO AICS 2023 - PROGETTO DI COOPERAZIONE TERRITORIALE - AKLI BALADI - PRESTAZIONE DI SERVIZI - VEDASI CAP. 7200006 ENTRATA - set. 113 - 1566
