cig;dd_numeri;capitoli;missioni;denominazioni_capitoli
B339965E5C;;;;
B5C6011219;DD 1271/2025|DD 1788/2025;;;
B338E3C8B2;;;;
B33978D8DC;;;;
B5842E680E;DD 757/2025;038600005001;04;SCUOLE MATERNE - ACQUISTO DI SERVIZI - PULIZIA - ASSISTENZA EDUCATIVA - SERVIZI ACCESSORI - settore 007
B5CA57014A;DD 1344/2025;078630003001;01;GESTIONE GRANDI OPERE - PRESTAZIONI DI SERVIZI - INCARICHI E SERVIZI PROFESSIONALI - settore 117
B5C065CAC5;DD 3669/2025|DD 5722/2025;;;
B3389B4B6E;;;;
B5D1F428C8;DD 1472/2025;123100203003;03;APP. AVANZO TRASFERIMENTI - POLIZIA LOCALE - ACQUISTI ATTREZZATURE - VEICOLI - PROGETTO SCUOLE SICURE - VEDASI CAP. 31500000 ENTRATA - sett. 048
B33951E6BF;;;;
B571B6B17C;DD 714/2025;003610002001;01;GABINETTO DEL SINDACO - COORD. ATTIVITA' DI SUPPORTO AL CAPO GABINETTO - LOOK E SPONSORIZZAZIONI DELLA CITTA' - ATTIVITA' PROMOZIONALI URBANA DI LOOK E VARIE - settore 001
B5CC4E9A20;DD 1344/2025;078630003001;01;GESTIONE GRANDI OPERE - PRESTAZIONI DI SERVIZI - INCARICHI E SERVIZI PROFESSIONALI - settore 117
B5CDA49DC2;DD 1893/2025;144500001006;08;ATTUAZIONE LEGGI NN. 167/62-865/71-10/77-457/78 - OPERE DI URB. PRIM. E SEC. RESTAURI DEL PATRIMONIO COM.LE E RISANAMENTO DI COMPLESSI EDILIZI - VEDANSI CAPP. 36200001/002/003/004/005/006 E - sett 030
B5856A31EE;DD 1540/2025;119400002002;01;ALTRI SERVIZI GENERALI - MANUTENZIONE STRAORDINARIA - settore 030
B5CF989793;DD 1490/2025;091700002002;14;MANUTENZIONE ORDINARIA DEGLI IMPIANTI PUBBLICITARI - settore 013
B5615C6702;DD 713/2025;026900008001;01;SISTEMI INFORMATIVI - ACQUISTO DI SERVIZI - SERVIZI DI ENDPOINT MANAGEMENT ASSISTENZA PDL - settore 027
B59E4859CD;DD 894/2025;038600005001;04;SCUOLE MATERNE - ACQUISTO DI SERVIZI - PULIZIA - ASSISTENZA EDUCATIVA - SERVIZI ACCESSORI - settore 007
B62F573480;DD 7156/2025;;;
B62F5723AD;DD 6799/2025|DD 7607/2025;;;
B61B17AAB7;DD 1813/2025;;;
B5DDF30B70;DD 1454/2025;010900000001;01;SPESE GENERALI PER GESTIONE INDEBITAMENTO - settore 024
B60B59E372;DD 2083/2025;020100006001;01;GESTIONE PARCO VEICOLI - UTILIZZO BENI DI TERZI - NOLEGGIO AUTOMOTOVEICOLI - settore 055
B5E2A61838;DD 2860/2025|DD 3065/2025|DD 4851/2025;;;
B6123158C0;DD 3937/2025|DD 7197/2025|DD 6712/2025|DD 8899/2025|DD 8651/2025;;;
B62F570207;DD 7271/2025|DD 7267/2025|DD 7908/2025;;;
B638454CC9;DD 2301/2025;;;
B62F56F134;DD 7773/2025|DD 8881/2025;;;
B5E102FA40;DD 2301/2025;;;
B648E05E30;DD 3249/2025|DD 8944/2025;144500001006;08;ATTUAZIONE LEGGI NN. 167/62-865/71-10/77-457/78 - OPERE DI URB. PRIM. E SEC. RESTAURI DEL PATRIMONIO COM.LE E RISANAMENTO DI COMPLESSI EDILIZI - VEDANSI CAPP. 36200001/002/003/004/005/006 E - sett 030
B62F5712DA;DD 6744/2025|DD 6687/2025;;;
B5F37101C1;DD 2164/2025|DD 3588/2025|DD 4113/2025|DD 5344/2025|DD 6245/2025|DD 7241/2025|DD 7803/2025|DD 7802/2025|DD 7651/2025;;;
B5E53564B8;DD 3992/2025;082400058001;06;POLITICHE GIOVANILI E INTERCULTURA - ACQUISTO DI SERVIZI - ALTRE PRESTAZIONI PROFESSIONALI E SPECIALISTICHE- SETT. 50
B599581522;DD 1039/2025;118630008005;01;SISTEMI INFORMATIVI - PN METRO PLUS - GESTIONE DELLA RELAZIONE CITTADINO - IMPRESE - TO1.1.2.1.E - VEDASI CAP.032500002001 ENTRATA - SETT.27
B61F433A67;DD 1941/2025|DD 6139/2025|DD 7045/2025;;;
B63BC6B637;DD 2080/2025;130700003001|157900002001;04|12;DIREZIONE ISTRUZIONE - ACQUISTI - MATERIALI DIVERSI - settore 005 || SCUOLE MATERNE - ACQUISTO ATTREZZATURE PER ALUNNI DISABILI - set. 005
B5F842B2E4;DD 1771/2025;098700011001|098700013003;14;COMMERCIO E MERCATI - ACQUISTO DI BENI E SERVIZI - ATTIVITA' DI PROMOZIONE DEL COMMERCIO - SETT. 134 || COMMERCIO E MERCATI - ACQUISTO DI BENI E SERVIZI - SPAZI PUBLICITARI TV RADIO WEB CARTA STAMPATA - SETT. 134
B60CA5C166;DD 2083/2025;020100006001;01;GESTIONE PARCO VEICOLI - UTILIZZO BENI DI TERZI - NOLEGGIO AUTOMOTOVEICOLI - settore 055
B63C1F9BAE;DD 3247/2025|DD 3162/2025;;;
B60C311CB0;DD 2083/2025;020100006001;01;GESTIONE PARCO VEICOLI - UTILIZZO BENI DI TERZI - NOLEGGIO AUTOMOTOVEICOLI - settore 055
B599491F11;DD 974/2025;118630008005;01;SISTEMI INFORMATIVI - PN METRO PLUS - GESTIONE DELLA RELAZIONE CITTADINO - IMPRESE - TO1.1.2.1.E - VEDASI CAP.032500002001 ENTRATA - SETT.27
B62ED27BB6;DD 2551/2025;003850006001;01;GABINETTO DEL SINDACO - COMUNICAZIONE ISTITUZIONALE ED INFORMAZIONE - PRESTAZIONI DI SERVIZI - SPESE PER LA COMUNICAZIONE - settore 001
