cig;cig_accordo_quadro;numero_gara;oggetto_gara;importo_complessivo_gara;n_lotti_componenti;oggetto_lotto;importo_lotto;oggetto_principale_contratto;stato;settore;luogo_istat;provincia;data_pubblicazione;data_scadenza_offerta;cod_tipo_scelta_contraente;tipo_scelta_contraente;cod_modalita_realizzazione;modalita_realizzazione;codice_ausa;cf_amministrazione_appaltante;denominazione_amministrazione_appaltante;sezione_regionale;id_centro_costo;denominazione_centro_costo;anno_pubblicazione;mese_pubblicazione;cod_cpv;descrizione_cpv;flag_prevalente;COD_MOTIVO_CANCELLAZIONE;MOTIVO_CANCELLAZIONE;DATA_CANCELLAZIONE;DATA_ULTIMO_PERFEZIONAMENTO;COD_MODALITA_INDIZIONE_SPECIALI;MODALITA_INDIZIONE_SPECIALI;COD_MODALITA_INDIZIONE_SERVIZI;MODALITA_INDIZIONE_SERVIZI;DURATA_PREVISTA;COD_STRUMENTO_SVOLGIMENTO;STRUMENTO_SVOLGIMENTO;FLAG_URGENZA;COD_MOTIVO_URGENZA;MOTIVO_URGENZA;FLAG_DELEGA;FUNZIONI_DELEGATE;CF_SA_DELEGANTE;DENOMINAZIONE_SA_DELEGANTE;CF_SA_DELEGATA;DENOMINAZIONE_SA_DELEGATA;IMPORTO_SICUREZZA;TIPO_APPALTO_RISERVATO;CUI_PROGRAMMA;FLAG_PREV_RIPETIZIONI;COD_IPOTESI_COLLEGAMENTO;IPOTESI_COLLEGAMENTO;CIG_COLLEGAMENTO;COD_ESITO;ESITO;DATA_COMUNICAZIONE_ESITO;FLAG_PNRR_PNC
B6667ADDCE;B1614DF739;CONSIP_ORDINE_8489187;D;494172.2;1;NOLEGGIO DI N. 10 VEICOLI MOD. CITROEN C4 1.2 136CV. HYBRID CON ALLESTIM. POLIZIA LOCALE CON LIVREA E PREDISPOSIZ. PER RADIO RICETRASMITTENTE MOTOROLA MOD. MTM800 PER UNA DURATA DI 60 MESI ED UNA PERCORRENZA CHILOMETRICA LIMITE DI 125.000 KM;494172.2;FORNITURE;ATTIVO;SETTORI ORDINARI;001272;TORINO;2025-04-08;2025-04-08;24;AFFIDAMENTO DIRETTO;11;CONTRATTO D'APPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;0000168808;00514490010;COMUNE DI TORINO;SEZIONE REGIONALE PIEMONTE;0AD127C2-E827-4EC4-BAFB-ED4F78658624;06 - AREA 2;2025;4;34114200-1;AUTOVEICOLI DELLA POLIZIA;1;;;;2025-04-08;;;;;;;;0;;;0;;00514490010;COMUNE DI TORINO;;;;;;;;;;1.0;AGGIUDICATA;2025-04-08;0
B668D08175;;PCP-20250408-09060;ALLACCIAMENTO IDRICO PDP VIA MONTE ORTIGARA 95;9745.0;1;ALLACCIAMENTO IDRICO PDP VIA MONTE ORTIGARA 95;9745.0;LAVORI;ATTIVO;SETTORI ORDINARI;001272;TORINO;2025-04-09;;25;AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE;999;ND;0000168808;00514490010;COMUNE DI TORINO;SEZIONE REGIONALE PIEMONTE;6D791C02-F25F-4107-99FB-2D0F6063705B;13 - DIVISIONE SERVIZI TECNICI / COORDINAMENTO;2025;4;45332200-5;LAVORI IDRAULICI;1;;;;2025-04-08;;;;;;;;0;;;0;;00514490010;COMUNE DI TORINO;;;;;;;;;;1.0;AGGIUDICATA;2025-04-08;1
B5FD0B6D2F;;G00747-bbbd7369-240e-4e1b-968d-0268c72c8936;AFFIDAMENTO DIRETTO A SOCIETÀ IN HOUSE G00747 - OUTSOURCING DEL SISTEMA INFORMATIVO TERRITORIALE (SIT) CTE ANNO 2025;642054.17;1;AFFIDAMENTO DIRETTO A SOCIETÀ IN HOUSE G00747 - OUTSOURCING DEL SISTEMA INFORMATIVO TERRITORIALE (SIT) CTE ANNO 2025;642054.17;SERVIZI;ATTIVO;SETTORI ORDINARI;001272;TORINO;2025-04-24;;25;AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE;999;ND;0000168808;00514490010;COMUNE DI TORINO;SEZIONE REGIONALE PIEMONTE;AD330770-9F16-40D8-BDEB-09E98DDC65A0;07 - AREA 3;2025;4;72500000-0;SERVIZI INFORMATICI;1;;;;2025-03-11;;;;;;;;0;;;0;;00514490010;COMUNE DI TORINO;;;;;;;;;;1.0;AGGIUDICATA;2025-03-11;0
B625CF0931;;PCP-20250320-14287;PTE DI SERVIZI_SVILUPPO PIATTAFORMA DI GESTIONE ANAGRAFICHE;175989.6;1;PTE DI SERVIZI_SVILUPPO PIATTAFORMA DI GESTIONE ANAGRAFICHE;175989.6;SERVIZI;ATTIVO;SETTORI ORDINARI;001272;TORINO;2025-04-28;;25;AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE;999;ND;0000168808;00514490010;COMUNE DI TORINO;SEZIONE REGIONALE PIEMONTE;0AD127C2-E827-4EC4-BAFB-ED4F78658624;06 - AREA 2;2025;4;72500000-0;SERVIZI INFORMATICI;1;;;;2025-03-20;;;;;;;;0;;;0;;00514490010;COMUNE DI TORINO;;;;;;;;;;1.0;AGGIUDICATA;2025-03-20;0
B61FF48F90;;PCP-20250319-12273;PTE DI SERVIZI_NUOVO SISTEMA GESTIONE RISORSE UMANE;1556388.76;1;PTE DI SERVIZI_NUOVO SISTEMA GESTIONE RISORSE UMANE;1556388.76;SERVIZI;ATTIVO;SETTORI ORDINARI;001272;TORINO;2025-04-15;;25;AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE;999;ND;0000168808;00514490010;COMUNE DI TORINO;SEZIONE REGIONALE PIEMONTE;0AD127C2-E827-4EC4-BAFB-ED4F78658624;06 - AREA 2;2025;4;72500000-0;SERVIZI INFORMATICI;1;;;;2025-03-19;;;;;;;;0;;;0;;00514490010;COMUNE DI TORINO;;;;;;;;;;1.0;AGGIUDICATA;2025-03-19;0
A069BF1CC5;A0210C5B8B;9675900;FORNITURA CALZATURE;23174.0;1;FORNITURA CALZATURE;23174.0;FORNITURE;ATTIVO;SETTORI ORDINARI;001272;TORINO;2025-04-07;2025-04-07;27;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;11;CONTRATTO D'APPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;0000168808;00514490010;COMUNE DI TORINO;SEZIONE REGIONALE PIEMONTE;1F8543BE-C2C1-4B43-956C-F7BB5FFCADBD;08 - AREA 4;2025;4;18810000-0;CALZATURE DIVERSE DALLE CALZATURE SPORTIVE E PROTETTIVE;1;;;;2025-04-07;;;;;270.0;3.0;CATALOGO ELETTRONICO ART.57: ACQUISTO DIRETTO;0;;;;;;;;;;;;0;;;;;;;0
B668D1C1F6;;PCP-20250408-11596;RIMOZIONE CONTATORE GAS - VIA NICOLA FABRIZI 55 - PNRR A22;877.5;1;RIMOZIONE CONTATORE GAS VIA NICOLA FABRIZZI 55 - PNRR A22;877.5;SERVIZI;ATTIVO;SETTORI ORDINARI;001272;TORINO;2025-04-09;;25;AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE;999;ND;0000168808;00514490010;COMUNE DI TORINO;SEZIONE REGIONALE PIEMONTE;AD330770-9F16-40D8-BDEB-09E98DDC65A0;07 - AREA 3;2025;4;24100000-5;GAS;1;;;;2025-04-08;;;;;;;;0;;;0;;00514490010;COMUNE DI TORINO;;;;;;;;;;1.0;AGGIUDICATA;2025-04-08;1
B6AFAF5038;B363D253E3;G00782-bf44dc69-bfc8-446b-9457-7d3223a15baf;AFFIDAMENTO DIRETTO IN ADESIONE - PROCEDURA APERTA N. 38/2024 - ACCORDO QUADRO PER SERVIZI DI VIGILANZA ATTIVA E PORTIERATO PER LA CITTÀ DI TORINO LOTTO 1 - COMPENDIO IMMOBILIARE BORGO E ROCCA MEDIEVALI;1313.66;1;AFFIDAMENTO DIRETTO IN ADESIONE - PROCEDURA APERTA N. 38/2024 - ACCORDO QUADRO PER SERVIZI DI VIGILANZA ATTIVA E PORTIERATO PER LA CITTÀ DI TORINO LOTTO 1 - COMPENDIO IMMOBILIARE BORGO E ROCCA MEDIEVALI;1313.66;SERVIZI;ATTIVO;SETTORI ORDINARI;001272;TORINO;2025-04-30;2025-04-30;24;AFFIDAMENTO DIRETTO;11;CONTRATTO D'APPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;0000168808;00514490010;COMUNE DI TORINO;SEZIONE REGIONALE PIEMONTE;0AD127C2-E827-4EC4-BAFB-ED4F78658624;06 - AREA 2;2025;4;79714000-2;SERVIZI DI SORVEGLIANZA;1;;;;2025-04-30;;;;;;;;0;;;0;;00514490010;COMUNE DI TORINO;;;;;;;;;;1.0;AGGIUDICATA;2025-04-30;0
B667F6616B;;CONSIP_RDO_5242990;ACQUISTO DI SPAZI PUBBLICITARI SU QUOTIDIANI, PERIODICI E MEZZI DIGITALI - ANNO 2025;25800.0;1;ACQUISTO DI SPAZI PUBBLICITARI SU QUOTIDIANI, PERIODICI E MEZZI DIGITALI - ANNO 2025;25800.0;SERVIZI;ATTIVO;SETTORI ORDINARI;001272;TORINO;2025-04-09;2025-04-08;24;AFFIDAMENTO DIRETTO;1;CONTRATTO D'APPALTO;0000168808;00514490010;COMUNE DI TORINO;SEZIONE REGIONALE PIEMONTE;2E8AFB42-9053-4B30-B1FF-850D9E3A41DE;01 - SERVIZIO CENTRALE GABINETTO DELLA SINDACA;2025;4;79341000-6;SERVIZI PUBBLICITARI;1;;;;2025-04-08;;;;;;;;1;7.0;non applicabile;0;;00514490010;COMUNE DI TORINO;;;;;;;;;;1.0;AGGIUDICATA;2025-04-08;0
B69BAD9695;;CONSIP_RDO_5306999;FORNITURA E POSA NUOVI INFISSI AVVISO C.S.E. 2025 M.A.S.E. PRESSO L'IMMOBILE SITO IN CORSO ORBASSANO 172.;220000.0;2;FORNITURA E POSA NUOVI AVVOLGIBILI;70000.0;FORNITURE;ATTIVO;SETTORI ORDINARI;001272;TORINO;2025-04-24;;23;PROCEDURA NEGOZIATA CON PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);1;CONTRATTO D'APPALTO;0000168808;00514490010;COMUNE DI TORINO;SEZIONE REGIONALE PIEMONTE;AD330770-9F16-40D8-BDEB-09E98DDC65A0;07 - AREA 3;2025;4;44115900-8;DISPOSITIVI DI PROTEZIONE SOLARE;1;;;;2025-04-23;;;;;;;;0;;;0;;00514490010;COMUNE DI TORINO;;;;LA PARTECIPAZIONE NON È RISERVATA.;;;10.0;NO, NESSUNA IPOTESI DI COLLEGAMENTO;;;;;0
